timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint,air_temperature,outdoor_temperature
2012-01-01 04:53:00 EST,+2.72467,+1.34942,+68,+67.4419,+15.082
2012-01-01 04:54:00 EST,+2.72467,+1.34942,+68,+67.6232,+15.082
2012-01-01 04:55:00 EST,+2.72467,+1.34942,+68,+67.7763,+15.082
2012-01-01 04:56:00 EST,+2.72467,+1.34942,+68,+67.9057,+15.082
2012-01-01 04:57:00 EST,+2.72467,+1.34942,+68,+68.0154,+15.082
2012-01-01 04:58:00 EST,+2.72467,+1.34942,+68,+68.1086,+15.082
2012-01-01 04:59:00 EST,+2.72467,+1.34942,+68,+68.188,+15.082
2012-01-01 05:00:00 EST,+2.72467,+1.34942,+68,+68.2558,+15.082
2012-01-01 05:01:00 EST,+2.72467,+1.34942,+68,+68.314,+15.082
2012-01-01 05:02:00 EST,+2.72467,+1.34942,+68,+68.3641,+15.082
2012-01-01 05:03:00 EST,+2.72467,+1.34942,+68,+68.4074,+15.082
2012-01-01 05:04:00 EST,+2.72467,+1.34942,+68,+68.4451,+15.082
2012-01-01 05:05:00 EST,+2.72467,+1.34942,+68,+68.478,+15.082
2012-01-01 05:06:00 EST,+2.72467,+1.34942,+68,+68.507,+15.082
2012-01-01 05:07:00 EST,+2.72467,+1.34942,+68,+68.5333,+15.082
2012-01-01 05:08:00 EST,+2.72467,+1.34942,+68,+68.5568,+15.082
2012-01-01 05:09:00 EST,+2.72467,+1.34942,+68,+68.5779,+15.082
2012-01-01 05:10:00 EST,+2.72467,+1.34942,+68,+68.597,+15.082
2012-01-01 05:11:00 EST,+2.72467,+1.34942,+68,+68.6144,+15.082
2012-01-01 05:12:00 EST,+2.72467,+1.34942,+68,+68.6305,+15.082
2012-01-01 05:13:00 EST,+2.72467,+1.34942,+68,+68.6454,+15.082
2012-01-01 05:14:00 EST,+2.72467,+1.34942,+68,+68.6593,+15.082
2012-01-01 05:15:00 EST,+2.72467,+1.34942,+68,+68.6724,+15.082
2012-01-01 05:16:00 EST,+2.72467,+1.34942,+68,+68.6848,+15.082
2012-01-01 05:17:00 EST,+2.72467,+1.34942,+68,+68.6966,+15.082
2012-01-01 05:18:00 EST,+2.72467,+1.34942,+68,+68.7079,+15.082
2012-01-01 05:19:00 EST,+2.72467,+1.34942,+68,+68.7189,+15.082
2012-01-01 05:20:00 EST,+2.72467,+1.34942,+68,+68.7295,+15.082
2012-01-01 05:21:00 EST,+2.72467,+1.34942,+68,+68.7398,+15.082
2012-01-01 05:22:00 EST,+2.72467,+1.34942,+68,+68.7499,+15.082
